etotapx4,etotapx*1000,bls_urbn,cutenure,educ_ref,inclass,marital1,region,vehq,fam_size,fincatax,fincatax*1000,age_ref,num_auto,renteqvx,inc_rank,no_earnr
22.0365,22036.5,1,1,15,8,1,4,3,4,53,53000,50,1,2200,0.5734,1
21.07915,21079.15,1,1,15,9,1,3,2,2,110.35,110350,26,2,1500,0.8656,2
10.8145,10814.5,1,1,14,7,3,2,1,1,38.34,38340,64,1,900,0.4684,1
24.14175,24141.75,1,1,15,9,1,4,3,2,119.998,119998,59,2,2200,0.9197,1
12.6509,12650.9,1,2,14,9,1,2,7,3,92.676,92676,50,3,900,0.8578,3
4.3199,4319.9,1,2,10,4,1,3,2,7,17.522,17522,29,0,500,0.2001,1
40.246564,40246.564,1,1,15,9,1,1,3,6,172.865,172865,46,0,1800,0.9549,5
33.25395,33253.95,1,1,13,8,1,3,3,2,64.073,64073,68,2,2000,0.6463,1
33.66875,33668.75,1,1,15,9,1,2,2,3,210.246,210246,49,0,1200,0.9706,3
32.157314,32157.314,1,1,17,9,3,3,2,3,150,150000,46,1,5039,0.9347,1
11.412,11412,1,1,12,7,1,1,3,2,43.399,43399,65,1,1400,0.4527,1
8.96725,8967.25,1,2,12,8,1,4,2,3,63.15,63150,53,2,1600,0.6594,2
11.93155,11931.55,1,2,15,9,1,2,3,2,121.723,121723,65,3,1284,0.843,2
9.982,9982,1,1,15,5,1,3,1,2,24,24000,63,1,1607,0.2838,1
10.00265,10002.65,1,1,12,9,1,2,2,4,73.4,73400,47,1,1313,0.7282,3
5.81745,5817.45,1,2,12,6,2,3,1,1,30.291,30291,73,1,600,0.3701,1
8.5484,8548.4,1,1,12,9,2,4,1,4,61.436,61436,87,0,1500,0.7357,3
14.05,14050,1,2,12,5,1,2,2,3,33.93,33930,55,1,1000,0.32,2
19.3755,19375.5,1,1,13,9,1,2,4,2,200,200000,58,0,1500,0.9687,2
46.826621,46826.621,1,1,14,9,1,3,4,2,298.52,298520,55,1,3000,0.9731,2
10.80725,10807.25,1,1,15,8,5,3,1,1,46.609,46609,37,1,1200,0.612,1
8.367,8367,1,2,15,4,1,2,1,2,15.646,15646,81,1,350,0.1721,0
14.1274,14127.4,1,1,12,7,5,3,2,3,46.077,46077,26,0,1000,0.4989,2
13.65525,13655.25,1,1,15,5,1,3,2,5,34.428,34428,51,1,1000,0.3395,1
11.09675,11096.75,1,1,13,9,5,4,1,5,173.988,173988,23,0,2500,0.751,3
10.25125,10251.25,1,2,12,9,1,2,3,2,78.233,78233,46,1,1000,0.7302,2
13.3925,13392.5,1,2,15,9,1,1,2,4,142.4,142400,49,2,2700,0.9391,2
29.411514,29411.514,1,1,17,9,1,3,3,5,253.146,253146,74,1,3000,0.9758,1
34.33225,34332.25,1,1,15,9,1,1,3,2,133,133000,60,2,3000,0.9076,2
13.90665,13906.65,1,1,15,8,1,3,1,2,64,64000,26,1,1100,0.6403,2
8.9549,8954.9,1,2,12,5,5,2,2,2,24.551,24551,47,1,700,0.3003,2
